H,T,HC,Add,C,C/T
Oe,K,uJ/K,uJ/K,J/molK,J/molK2
m = 3.11 mg,M = 311.25 g/mole,9.991967871485943e-06 mole,HC avg,,
-0.056,40.288225,553.833155,421.68017499999996,55.42783585008039,1.3757825233075023
-0.056,32.9904005,414.828,297.90419499999996,41.5161463022508,1.258431109445028
-0.056,26.964952,305.125845,208.76151,30.537112301045017,1.1324741946896482
-0.056,22.052872999999998,214.386525,144.14107,21.455886143488748,0.9729292933165102
-0.056,18.030109500000002,151.638825,96.932129,15.176072116157556,0.8417071519259245
-0.056,14.7834675,108.05759499999999,64.01137800000001,10.814445801848874,0.7315229530452767
-0.056,12.1125475,77.61414049999999,41.375181999999995,7.767653128818327,0.6412897971147958
-0.056,9.911188,58.996531000000004,26.023823,5.9043955864147915,0.5957303591067783
-0.056,8.111250550000001,49.83558,16.0606235,4.987564075562701,0.6148945892890338
-0.056,6.65237795,46.1116605,9.489559400000001,4.6148727751205785,0.6937177667604677
-0.056,5.446505849999999,68.14063250000001,5.5898787,6.8195407928054665,1.2520946420732233
-0.056,4.4583863,40.2323345,3.1295790500000003,4.026467560490354,0.9031221813350615
-0.056,3.6392624500000004,12.423381,1.70485685,1.2433367640675241,0.341645259485895
-0.056,2.97274805,3.7025618,0.92485748,0.37055381358520895,0.1246502587345769
-0.056,2.42956295,1.24907325,0.5055603,0.12500773281752411,0.051452765534444826
-0.056,2.02932475,0.5845662250000001,0.306547315,0.05850361335409969,0.028829103549887564
-0.056,2.1559852,0.7307721149999999,0.360218995,0.07313595523914791,0.033922290022745945
-0.056,2.2901991500000003,0.94122264,0.42642757,0.09419792498392283,0.0411308881081031
-0.056,2.4254704,1.2478828499999999,0.50317676,0.12488859712620577,0.05149046433475575
-0.056,2.56055765,1.62587475,0.5890268949999999,0.16271817232717042,0.06354794328773282
-0.056,2.6973189,2.1185610500000003,0.6853848899999999,0.21202640733520906,0.07860635512367821
-0.056,2.8309362499999997,2.75459265,0.7928846350000001,0.27568069527733124,0.09738145649776864
-0.056,2.9654112,3.64108155,0.917193645,0.3644008464429261,0.1228837492901241
-0.056,3.1001018499999997,4.6677249,1.053125,0.46714770904340835,0.15068785854355346
-0.056,3.23541355,6.0617642,1.19792265,0.6066637000803858,0.1875073126526239
-0.056,3.3701712,7.9262786,1.35345585,0.793265020659164,0.23537825635064594
-0.056,3.5054963,9.9199784,1.5238995499999999,0.9927952659163988,0.28321104373049794
-0.056,3.64049675,12.5562805,1.7067087,1.256637397307074,0.345182947164305
-0.056,3.77492085,15.5759875,1.90225,1.5588508390273312,0.4129492778709072
-0.056,3.9130311000000004,19.0363075,2.11842535,1.9051609997990355,0.4868760178775567
-0.056,4.0500641,23.522791499999997,2.3486092999999997,2.354170049638263,0.58126735565451
-0.056,4.1541302,27.032488,2.5331893,2.7054218295819936,0.6512607210967999
-0.056,4.2552956,31.3282285,2.7221865000000003,3.1353411963424436,0.7368092586429116
-0.056,4.3579196499999995,35.6432755,2.9234944,3.5671927650723476,0.8185540467852243
-0.056,4.46134495,40.694622,3.1358332,4.072733471864952,0.9128936492267767
-0.056,4.56362865,45.8477465,3.3556999000000003,4.58846016016881,1.00544117676376
-0.056,4.666270450000001,52.007443,3.58329355,5.204924962620579,1.1154357678990892
-0.056,4.7677011,58.2200895,3.8160978500000002,5.826689021503215,1.2221170957011578
-0.056,4.869928099999999,65.17849749999999,4.05705065,6.523089179059484,1.339463138903321
-0.056,4.97077715,72.555457,4.3008612500000005,7.261378132234728,1.460813452929534
-0.056,5.0724299,80.3584085,4.55502325,8.04230052913987,1.5854926904243407
-0.056,5.1745473,88.376112,4.81953425,8.844715389067526,1.709273270932807
-0.056,5.27792135,94.60203849999999,5.0993265,9.467808515474275,1.7938517623939727
-0.056,5.3802126,87.3273285,5.3908619,8.739752731712217,1.6244251633684916
-0.056,5.48409695,58.217274,5.7024589,5.826407245176849,1.0624187169369517
-0.056,5.583504700000001,47.00011,6.00549265,4.703789143890676,0.8424438406742409
-0.056,5.6751589,45.2767585,6.29818215,4.531315460811897,0.7984473281993739
-0.056,5.775389499999999,44.973612,6.61735195,4.5009764421221865,0.7793372970121214
-0.056,5.8756122,44.887221,6.93611075,4.492330397508039,0.7645723108662683
-0.056,5.97814005,44.864734999999996,7.2550127,4.490079989951768,0.7510831048449205
-0.056,6.076632,45.1284885,7.5572291499999995,4.516476542001608,0.7432532597007039
-0.056,6.17742365,45.1554305,7.86477545,4.519172907757235,0.7315627296757015
-0.056,6.275245849999999,45.492269,8.1685606,4.552883834807075,0.7255307510871586
-0.056,6.3783654,45.439358,8.5006268,4.547588481511254,0.7129708312902949
-0.056,6.4802512,45.637266499999996,8.84640255,4.567395240554663,0.7048176219703741
-0.056,6.5802160999999995,46.045278499999995,9.21184925,4.6082292389469455,0.7003157903806451
-0.056,6.6774694,46.2545065,9.589121200000001,4.629168857918007,0.6932519762528612
-0.056,6.98391015,46.853955,10.883026000000001,4.689161895096463,0.6714235713780572
-0.056,7.287304600000001,47.4284315,12.2352425,4.746655724879421,0.6513595884107027
-0.056,7.59231785,48.333793,13.613437000000001,4.8372646531350485,0.637126204237491
-0.056,7.899649050000001,48.940805499999996,15.045886,4.89801469835209,0.6200294047685687
-0.056,8.2064168,49.5744375,16.5282365,4.961428833400322,0.6045791914200997
-0.056,8.508186049999999,51.545974,18.034797500000003,5.158740967041801,0.6063267700924102
-0.056,8.816894300000001,52.822927,19.6360375,5.286538915996785,0.5995919579070812
-0.056,9.1221607,54.7154605,21.3079305,5.475944398914791,0.6002902797924609
-0.056,9.426567250000002,56.6485225,23.0757385,5.669405989750804,0.60142847755643
-0.056,9.7324447,57.8791875,24.9162505,5.792571417805466,0.595181539311029
-0.056,10.038947,60.163675,26.836283,6.0212038082797426,0.5997844005232563
-0.056,10.330784999999999,61.902799,28.7310855,6.195256009244373,0.5996887951152186
-0.056,10.613580500000001,63.988845,30.6372145,6.404028297829582,0.6033805743339471
