H,T,HC,Add,C,C/T
Oe,K,uJ/K,uJ/K,J/molK,J/molK2
m = 4.91 mg,M = 349.33 g/mole,1.4055477628603328e-05 mole,HC avg,,
0.0,60.5394965,1501.3821,795.64416,106.81829103727085,1.76443969991179
0.0,53.837548999999996,1321.1491999999998,638.8801,93.9953258729124,1.745906483835518
0.0,47.880865,1150.26395,521.12165,81.83741459338084,1.7091883071323135
0.0,42.59485599999999,992.4266,423.66275500000006,70.60781755152749,1.6576606703759604
0.0,37.9034405,849.10302,345.24219000000005,60.41082647181262,1.5938085217307019
0.0,33.7045335,726.11392,281.19662,51.660565310305486,1.532748266944727
0.0,29.9777245,612.4171699999999,227.97123,43.57142362446027,1.4534600057606197
0.0,26.6676305,511.64860999999996,183.160635,36.40207921207738,1.3650286331992405
0.0,23.715027,420.530305,146.29692999999997,29.919318013370667,1.2616185515357274
0.0,21.100123,348.83384,116.67824,24.818355463788183,1.1762185208014277
0.0,18.782086,282.319585,92.07612750000001,20.086089740947045,1.06942805718955
0.0,16.7086075,231.035845,72.19353749999999,16.437423978380853,0.9837698311113511
0.0,14.894086,189.01281999999998,56.353812500000004,13.447626967535637,0.9028836658748739
0.0,13.2496925,154.647975,43.451002,11.002683728462321,0.8304104965803788
0.0,11.782071499999999,130.52630499999998,33.295826500000004,9.286507968564152,0.7881897481749413
0.0,10.4806455,114.12711999999999,25.359641000000003,8.119761065091648,0.7747386422994317
0.0,9.32665215,107.47521499999999,19.1907275,7.646500377993888,0.819854783368745
0.0,8.29619765,117.39519,14.3857295,8.352273263279022,1.0067591944701344
0.0,7.38299985,123.92179499999999,10.706509,8.816619276446026,1.1941784444768784
0.0,6.6030308,69.204403,8.016200000000001,4.92366071282892,0.745666779689854
0.0,5.8720799,39.703364,5.8561353,2.8247609258900197,0.48104947037420587
0.0,5.2250823,23.4318035,4.21266735,1.6670940767118125,0.31905604179896124
0.0,4.64335245,13.640756999999999,2.9782277,0.9704940209389,0.2090071842250312
0.0,4.1242628,8.56736475,2.1093677499999997,0.609539211429226,0.14779349449536192
0.0,3.66546285,5.649426,1.48928375,0.40193767506720973,0.10965536727979926
0.0,3.259119,3.8591825,1.04543825,0.2745678661354378,0.08424603892507079
0.0,2.8913129499999997,2.71903895,0.72953548,0.19345048399256615,0.06690748713056681
0.0,2.5664799,2.0183000499999997,0.5147585699999999,0.1435952660827902,0.055950278855793956
0.0,2.28047585,1.5230378,0.36657252500000004,0.10835902131853359,0.047515969668581924
0.0,2.026704,1.15926335,0.26456869000000005,0.08247769166099794,0.040695479784417427
0.0,2.02715375,1.1560226,0.264734515,0.08224712318900203,0.04057271096926024
0.0,2.24902185,1.4583906500000001,0.35237745,0.10375959384205702,0.046135431650900595
0.0,2.4739928499999997,1.84451775,0.4628869,0.1312312394312627,0.05304430828539489
0.0,2.7015489500000003,2.2637115,0.599204175,0.16105546604786147,0.05961597181049096
0.0,2.9288304,2.78929645,0.7577029,0.19844906901802442,0.06775710502664287
0.0,3.1548160000000003,3.50624845,0.9446978500000001,0.24945779450885947,0.07907205824645858
0.0,3.3796095500000005,4.2529376,1.171135,0.302582218290835,0.08953170885992878
0.0,3.6033688,5.3358531,1.4178695000000001,0.37962801699042764,0.10535363934727626
0.0,3.82971735,6.601403799999999,1.6938377,0.46966769642647643,0.1226376918981962
0.0,4.0543587500000005,8.08927585,2.0069811,0.5755247928066191,0.1419521133413808
0.0,4.2801567,9.96684185,2.3546258499999997,0.7091073041671079,0.1656732110221824
0.0,4.5069713,12.282757,2.7342473000000003,0.8738768844826882,0.1938944861891373
0.0,4.7323032,14.932113000000001,3.1493237499999998,1.0623696607515274,0.22449315182330826
0.0,4.9608209500000005,18.447572,3.6170735499999997,1.3124827549409366,0.2645696686434402
0.0,5.185949150000001,22.358867500000002,4.12118395,1.590758285901222,0.30674390355355136
0.0,5.40844855,26.925128,4.6514752,1.915632375608961,0.35419258552602134
0.0,5.6324764,32.4193925,5.217140199999999,2.3065308313696535,0.4095056361655867
