H,T,m1,dm1,m2,dm2,amp,phase,Hamp,f,chi1,chi2,Tround
Oe,K,emu,emu,emu,emu,emu,deg,Oe,Hz,cm3/mol,cm3/mol,K
1.3,3.304944705732808e-06, holder=58.19mg,wosk=0.43mg,,,,,,,,,
400.0,3.897885,0.0002585343,0.0,8.987936e-06,0.0,0.0002586905,1.991084,3.0,1.206626,26.07550433461538,0.9065140065641024,3.9
400.0,3.8974830000000003,0.0002560827,0.0,1.09748e-05,0.0,0.0002563178,2.453993,3.0,1.7230919999999998,25.828238473076922,1.1069070717948717,3.9
400.0,3.8977019999999998,0.0002527084,0.0,1.2452089999999998e-05,0.0,0.000253015,2.820941,3.0,2.459855,25.487910035897436,1.2559050260256408,3.9
400.0,3.897848,0.00024901830000000004,0.0,1.342739e-05,0.0,0.00024938,3.086474,3.0,3.51071,25.115730334615385,1.3542727837179487,3.9
400.0,3.8976290000000002,0.00024492080000000004,0.0,1.3657260000000001e-05,0.0,0.0002453013,3.1916189999999998,3.0,5.012297,24.70246068717949,1.3774572361538462,3.9
400.0,3.897958,0.00024123770000000002,0.0,1.3153800000000001e-05,0.0,0.00024159610000000002,3.121036,3.0,7.154304,24.330986998717947,1.326678776923077,3.9
400.0,3.897775,0.0002375605,0.0,1.2179160000000002e-05,0.0,0.0002378725,2.9348490000000003,3.0,10.20797,23.960108378205128,1.2283775861538464,3.9
400.0,3.8977019999999998,0.0002344422,0.0,1.081031e-05,0.0,0.0002346913,2.640083,3.0,14.575560000000001,23.645599838461536,1.0903167791025639,3.9
400.0,3.897738,0.00023185209999999998,0.0,8.899628e-06,0.0,0.0002320228,2.198216,3.0,20.81483,23.384365008974356,0.8976073522564102,3.9
400.0,3.897849,0.000229859,0.0,7.792560999999999e-06,0.0,0.0002299911,1.941668,3.0,29.695909999999998,23.183342987179486,0.7859497100897435,3.9
400.0,3.8980309999999996,0.0002285739,0.0,6.338976e-06,0.0,0.00022866180000000001,1.58856,3.0,42.382459999999995,23.053729119230766,0.6393426178461538,3.9
400.0,3.8979220000000003,0.0002275739,0.0,5.008462e-06,0.0,0.00022762900000000003,1.260766,3.0,60.483869999999996,22.952870144871792,0.5051483404358974,3.9
400.0,3.897885,0.00022667759999999999,0.0,3.930812e-06,0.0,0.00022671169999999999,0.9934654,3.0,86.32597,22.862470246153844,0.3964576667179487,3.9
400.0,3.897738,0.00022627189999999998,0.0,3.162636e-06,0.0,0.000226294,0.8007795,3.0,123.1932,22.82155176025641,0.31898022323076924,3.9
400.0,3.8979220000000003,0.0002257883,0.0,2.3787780000000002e-06,0.0,0.00022580080000000002,0.6036136999999999,3.0,175.8912,22.772776360256408,0.2399211093076923,3.9
400.0,3.8979220000000003,0.0002250952,0.0,1.788157e-06,0.0,0.0002251023,0.4551482,3.0,251.3405,22.702871005128205,0.1803516810128205,3.9
400.0,3.897885,0.0002250175,0.0,1.448613e-06,0.0,0.0002250222,0.3688525,3.0,357.8244,22.69503426282051,0.1461056214230769,3.9
400.0,3.8981769999999996,0.0002247234,6.523706999999999e-08,6.951325e-07,1.12496e-09,0.00022472450000000002,0.17723139999999998,3.0,512.2951,22.665371638461536,0.07011035099358974,3.9
400.0,3.8982129999999997,0.0002244898,8.711309e-08,-1.408888e-07,9.426313e-09,0.0002244899,-0.03594971,3.0,732.4219,22.64181098205128,-0.014209899866666665,3.9
400.0,3.898414,0.00022427369999999998,5.7097870000000004e-08,-2.10971e-06,6.229019e-07,0.0002242837,-0.5389709,3.0,1041.667,22.620015357692303,-0.2127831867948718,3.9
400.0,3.898835,0.0002258332,1.746481e-07,-2.4206489999999997e-07,2.997494e-07,0.0002258333,-0.06140137,3.0,1488.095,22.777304928205126,-0.02441441754230769,3.9
400.0,3.799116,0.00028027529999999996,0.0,1.1886589999999999e-06,0.0,0.0002802778,0.2429922,3.0,0.100003,28.26827929615384,0.11988692760256409,3.8
400.0,3.7986730000000004,0.00028055290000000003,0.0,1.703958e-06,0.0,0.0002805581,0.34798579999999996,3.0,0.1427445,28.296277747435898,0.17185945623076923,3.8
400.0,3.798366,0.0002798652,0.0,2.338851e-06,0.0,0.00027987490000000003,0.4788134,3.0,0.2037335,28.226917030769226,0.2358941130384615,3.8
400.0,3.80239,0.0002794135,0.0,1.359289e-06,0.0,0.0002794168,0.27873000000000003,3.0,0.100003,28.18135903205128,0.13709649439743588,3.8
400.0,3.802969,0.0002792215,0.0,1.926185e-06,0.0,0.0002792281,0.3952436,3.0,0.1427445,28.16199410897436,0.194273043525641,3.8
400.0,3.799457,0.0002797153,0.0,2.397784e-06,0.0,0.0002797256,0.4911406,3.0,0.2037335,28.211798270512816,0.24183803497435896,3.8
400.0,3.797822,0.0002792825,0.0,3.158622e-06,0.0,0.0002793004,0.6479746999999999,3.0,0.2908745,28.168146506410256,0.31857537530769225,3.8
400.0,3.7988769999999996,0.0002786134,0.0,4.409137e-06,0.0,0.00027864830000000004,0.9066464,3.0,0.41520519999999994,28.100661766666665,0.4447010356282051,3.8
400.0,3.80099,0.0002779412,0.0,6.016423e-06,0.0,0.0002780063,1.240053,3.0,0.5925744000000001,28.03286436410256,0.6068102530897436,3.8
400.0,3.7995919999999996,0.0002768411,0.0,7.302641999999999e-06,0.0,0.0002769374,1.511024,3.0,0.8457527,27.92190940641025,0.7365369822307691,3.8
400.0,3.797686,0.000275625,0.0,9.261022e-06,0.0,0.0002757805,1.9244189999999999,3.0,1.206626,27.799254807692304,0.9340571804358974,3.8
400.0,3.799524,0.000272082,0.0,1.1289929999999999e-05,0.0,0.0002723161,2.376103,3.0,1.7230919999999998,27.441911461538457,1.1386907603846153,3.8
400.0,3.798571,0.0002693827,0.0,1.291123e-05,0.0,0.0002696919,2.7440279999999997,3.0,2.459855,27.16966283205128,1.3022134155128204,3.8
400.0,3.7991839999999995,0.0002655094,0.0,1.398644e-05,0.0,0.0002658775,3.0154259999999997,3.0,3.51071,26.779005766666664,1.4106579933333332,3.8
400.0,3.7988769999999996,0.0002613947,0.0,1.4323770000000001e-05,0.0,0.0002617869,3.136526,3.0,5.012297,26.36400134487179,1.4446807511538462,3.8
400.0,3.7990129999999995,0.00025749919999999997,0.0,1.4013020000000001e-05,0.0,0.0002578802,3.114944,3.0,7.154304,25.971105210256404,1.4133388248717949,3.8
400.0,3.79949,0.0002532279,0.0,1.312671e-05,0.0,0.0002535679,2.967416,3.0,10.20797,25.540306273076922,1.3239465073076921,3.8
400.0,3.7992519999999996,0.0002499442,0.0,1.1785999999999999e-05,0.0,0.0002502219,2.699755,3.0,14.575560000000001,25.20911565897436,1.1887238717948716,3.8
400.0,3.7996260000000004,0.0002472005,0.0,9.795241e-06,0.0,0.0002473944,2.26914,3.0,20.81483,24.93238889102564,0.9879379608589742,3.8
400.0,3.7992519999999996,0.0002446554,0.0,8.641779e-06,0.0,0.000244808,2.022975,3.0,29.695909999999998,24.675692715384614,0.871600966576923,3.8
400.0,3.799661,0.0002430438,0.0,7.090664e-06,0.0,0.00024314720000000002,1.671098,3.0,42.382459999999995,24.51314839230769,0.7151570985641026,3.8
400.0,3.799729,0.0002418923,0.0,5.447228e-06,0.0,0.0002419536,1.290039,3.0,60.483869999999996,24.397009283333333,0.5494018291794871,3.8
400.0,3.7994559999999997,0.0002413575,0.0,4.444971e-06,0.0,0.0002413985,1.0550709999999999,3.0,86.32597,24.34306990384615,0.44831521611538455,3.8
400.0,3.799729,0.00024072900000000002,0.0,3.4659980000000003e-06,0.0,0.0002407539,0.8248834999999999,3.0,123.1932,24.27968003846154,0.34957700341025644,3.8
400.0,3.799899,0.00024004029999999998,0.0,2.915571e-06,0.0,0.000240058,0.6958901999999999,3.0,175.8912,24.21021846282051,0.2940615007307692,3.8
400.0,3.799354,0.0002397132,0.0,2.5775850000000003e-06,0.0,0.0002397271,0.6160656,3.0,251.3405,24.17722749230769,0.25997257942307694,3.8
400.0,3.7997970000000003,0.0002394205,0.0,1.5841249999999998e-06,0.0,0.0002394258,0.37909190000000004,3.0,357.8244,24.147706070512818,0.15977322275641023,3.8
400.0,3.7997970000000003,0.0002389932,1.6164179999999998e-07,1.179372e-06,2.809517e-07,0.0002389961,0.2827381,3.0,512.2951,24.10460903076923,0.1189502503076923,3.8
400.0,3.8001379999999996,0.0002387784,3.35549e-08,8.464986000000001e-07,6.096887e-08,0.0002387799,0.20311970000000001,3.0,732.4219,24.08294452307692,0.0853769805923077,3.8
400.0,3.8002059999999998,0.00023817520000000002,4.104584e-08,-6.233203000000001e-07,1.205223e-07,0.000238176,-0.1499329,3.0,1041.667,24.02210638974359,-0.06286744615512821,3.8
400.0,3.8000019999999997,0.00024044970000000002,1.1575979999999999e-08,1.4901400000000002e-06,1.922924e-06,0.0002404543,0.3550749,3.0,1488.095,24.251510126923076,0.15029399205128205,3.8
400.0,3.700171,0.00030057069999999997,0.0,1.174476e-06,0.0,0.000300573,0.2238815,3.0,0.100003,30.315252524358968,0.11845644476923076,3.7
400.0,3.700139,0.0003001206,0.0,1.631222e-06,0.0,0.000300125,0.31141220000000003,3.0,0.1427445,30.2698559,0.16452337787179486,3.7
400.0,3.700011,0.00030029220000000003,0.0,2.531053e-06,0.0,0.0003003028,0.4829138,3.0,0.2037335,30.2871633,0.2552794096282051,3.7
400.0,3.700139,0.00030022,0.0,3.490242e-06,0.0,0.0003002403,0.6660686,3.0,0.2908745,30.27988128205128,0.35202222838461533,3.7
400.0,3.6999800000000005,0.00029975060000000004,0.0,4.276952e-06,0.0,0.00029978110000000003,0.8174617,3.0,0.41520519999999994,30.23253807948718,0.4313689921025641,3.7
400.0,3.700012,0.0002992348,0.0,5.595379000000001e-06,0.0,0.0002992871,1.0712469999999998,3.0,0.5925744000000001,30.180515020512818,0.5643441870897437,3.7
400.0,3.6999800000000005,0.0002978686,0.0,7.263451e-06,0.0,0.0002979571,1.396867,3.0,0.8457527,30.042721489743588,0.7325842181666666,3.7
400.0,3.6999800000000005,0.0002960612,0.0,9.238735000000001e-06,0.0,0.0002962053,1.787363,3.0,1.206626,29.860428979487175,0.931809336474359,3.7
400.0,3.6999169999999997,0.0002937231,0.0,1.108633e-05,0.0,0.0002939322,2.161555,3.0,1.7230919999999998,29.624610611538458,1.118155873205128,3.7
400.0,3.6999489999999997,0.0002903802,0.0,1.276378e-05,0.0,0.00029066060000000003,2.516839,3.0,2.459855,29.287449146153843,1.2873417597435897,3.7
400.0,3.699853,0.0002862377,0.0,1.3591970000000001e-05,0.0,0.0002865602,2.718643,3.0,3.51071,28.869640844871796,1.3708721537179487,3.7
400.0,3.699853,0.00028249419999999996,0.0,1.426731e-05,0.0,0.0002828542,2.891255,3.0,5.012297,28.492075274358967,1.4389862534615383,3.7
